name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
3test24_2000_4_99999999999, #3, 4, 2000, 62.597287, 0.053030, 0.320454, 601, 20000, 99999999999, 1
3test25_50_4_99999999999, #3, 4, 50, 49.511779, 0.511051, 0.215396, 466, 500, 99999999999, 1
3test26_1_4_99999999999, #3, 4, 1, 1.057121, 0.593512, 0.371906, 9, 10, 99999999999, 1
3test27_800_4_99999999999, #3, 4, 800, 200.350334, 0.411162, 0.819699, 1698, 8000, 99999999999, 1
3test28_1500_4_99999999999, #3, 4, 1500, 271.729766, 0.604618, 1.836604, 2380, 15000, 99999999999, 1
3test29_1500_4_99999999999, #3, 4, 1500, 89.291952, 0.111918, 0.523234, 792, 15000, 99999999999, 1
3test30_1500_4_99999999999, #3, 4, 1500, 158.399732, 0.256521, 0.826603, 1334, 15000, 99999999999, 1
3test31_1500_4_99999999999, #3, 4, 1500, 214.371804, 0.369432, 1.211616, 1863, 15000, 99999999999, 1
3test32_4000_4_99999999999, #3, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
3test33_50_4_99999999999, #3, 4, 50, 50.685390, 0.504149, 0.262346, 472, 500, 99999999999, 1
3test34_200_4_99999999999, #3, 4, 200, 180.031958, 0.709092, 0.376518, 1713, 2000, 99999999999, 1
3test35_200_4_99999999999, #3, 4, 200, 196.907619, 0.733884, 0.334225, 1783, 2000, 99999999999, 1
3test36_600_4_99999999999, #3, 4, 600, 404.295686, 1.280651, 1.303002, 3481, 6000, 99999999999, 1
3test37_800_4_99999999999, #3, 4, 800, 270.899593, 0.513035, 0.846067, 2506, 8000, 99999999999, 1
3test38_100_4_99999999999, #3, 4, 100, 103.145413, 0.576795, 0.221326, 936, 1000, 99999999999, 1
3test39_600_4_99999999999, #3, 4, 600, 304.034583, 1.017471, 1.270325, 2852, 6000, 99999999999, 1
3test40_1000_4_99999999999, #3, 4, 1000, 172.622742, 0.281953, 0.766755, 1569, 10000, 99999999999, 1
3test41_10_4_99999999999, #3, 4, 10, 9.987018, 0.406044, 0.221086, 95, 100, 99999999999, 1
3test42_200_4_99999999999, #3, 4, 200, 182.340461, 0.698591, 0.366200, 1725, 2000, 99999999999, 1
